record_id,date,year_be,month,season,station_id,station_type,tambon,pH,temp_c,EC_uS_cm,DO_mg_L,BOD_mg_L,COD_mg_L,NH3_mg_L,NO3_mg_L,TP_mg_L,TCB_MPN_100mL,FCB_MPN_100mL,WQI_al_score,WQI_al_class
1,2025-06-24,2568,6,ฤดูฝน,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,6.83,29.0,348.0,4.17,6.19,21.3,1.362,3.362,2.349,18433,6423,47.8,C (พอใช้)
2,2025-05-25,2568,5,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.57,30.1,253.0,4.8,3.75,11.8,1.177,1.905,1.428,16187,6871,61.1,B (ดี)
3,2025-08-06,2568,8,ฤดูฝน,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,6.85,32.8,344.0,6.43,2.21,5.9,0.409,2.086,1.142,5936,2276,73.6,B (ดี)
4,2024-07-24,2567,7,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,6.98,32.9,150.0,8.74,0.3,4.0,0.036,0.681,0.373,11485,6724,94.5,A (ดีมาก)
5,2024-09-30,2567,9,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.1,30.6,301.0,4.81,4.97,31.5,0.442,2.191,1.158,9603,4873,65.8,B (ดี)
6,2025-06-18,2568,6,ฤดูฝน,NHK02,หนองหาร (Lake),ธาตุนาเวง,6.62,31.2,217.0,6.05,4.85,22.7,0.962,2.157,1.94,32236,10949,64.5,B (ดี)
7,2024-02-27,2567,2,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,7.56,25.5,219.0,6.9,1.24,4.3,0.146,1.481,0.404,3022,1492,82.9,A (ดีมาก)
8,2024-06-01,2567,6,ฤดูฝน,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.11,32.6,261.0,6.14,4.11,19.8,0.811,2.694,1.733,44190,14911,65.0,B (ดี)
9,2025-12-22,2568,12,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.22,24.3,260.0,6.29,2.43,19.5,0.115,0.618,0.211,5549,2067,84.2,A (ดีมาก)
10,2024-05-15,2567,5,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,6.87,29.2,194.0,6.58,2.2,14.3,0.304,0.701,0.529,2689,671,82.5,A (ดีมาก)
11,2024-01-19,2567,1,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.91,26.9,238.0,7.27,0.85,9.4,0.534,0.664,0.249,10381,3556,85.8,A (ดีมาก)
12,2025-01-27,2568,1,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,6.63,26.1,416.0,2.0,6.94,22.9,1.58,3.146,2.191,38688,8389,38.4,D (เสื่อมโทรม)
13,2025-05-31,2568,5,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,6.73,30.3,390.0,2.5,7.22,29.6,1.554,3.506,2.941,93475,23360,35.8,D (เสื่อมโทรม)
14,2024-06-22,2567,6,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.15,31.3,260.0,7.02,2.31,5.8,0.453,2.669,1.702,19405,7742,71.2,B (ดี)
15,2024-08-05,2567,8,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.27,32.2,194.0,6.77,0.3,4.0,0.01,0.83,0.752,12912,5945,83.5,A (ดีมาก)
16,2025-05-28,2568,5,ฤดูแล้ง,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.35,27.8,378.0,3.93,5.08,20.4,0.642,2.045,1.705,5416,2364,58.5,C (พอใช้)
17,2025-12-27,2568,12,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.22,26.3,246.0,9.0,0.3,4.0,0.244,1.12,0.194,5506,1334,93.9,A (ดีมาก)
18,2025-05-22,2568,5,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,6.82,28.2,419.0,2.89,8.21,39.8,1.773,3.476,2.163,29699,15985,40.3,C (พอใช้)
19,2025-04-11,2568,4,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,7.59,25.7,249.0,7.01,1.63,10.3,0.112,0.991,0.324,2413,832,85.6,A (ดีมาก)
20,2024-06-15,2567,6,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.45,28.6,333.0,8.46,1.01,6.0,0.01,1.422,0.229,2264,554,91.6,A (ดีมาก)
21,2024-03-23,2567,3,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,6.4,26.8,208.0,8.85,3.28,20.5,0.176,0.825,0.223,5797,1246,94.5,A (ดีมาก)
22,2024-05-01,2567,5,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.11,29.4,240.0,6.57,1.11,4.0,0.231,0.739,0.498,18925,8688,82.9,A (ดีมาก)
